position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
17,9/1/24,8/31/25,"PARTNERSHIP, YORK HOUSE NORTH",1320 W SOMERVILLE AVE,40,0.202,40.034593,-75.144216
18,9/1/24,8/31/25,HERITAGE ASSOCIATES,2607 WELSH RD,37,0.202,40.06921,-75.027801
19,9/1/24,8/31/25,TERMINAL PROPERTY OWNER LLC,1104 N HANCOCK ST,36,0.202,39.967748,-75.138595
20,9/1/24,8/31/25,WILLOW COURT APARTMENTS LLC,507 MANHEIM ST,33,0.202,40.02147,-75.174362
21,9/1/24,8/31/25,"LP, BRYN MAWR SUITES",5100 LEBANON AVE,33,0.202,39.988734,-75.227032
22,9/1/24,8/31/25,"LP, 7600 STENTON",400 E MERMAID LN,32,0.202,40.073054,-75.190742
23,9/1/24,8/31/25,"LP, AVONDALE APTS",4628 LEIPER ST,30,0.202,40.018039,-75.08698
24,9/1/24,8/31/25,WPHS VENTURE PARTNERS LLC,220 S 47TH ST,30,0.202,39.955079,-75.215888
25,9/1/24,8/31/25,PACL HOLDINGS LLC,6100 CITY AVE,30,0.202,39.990441,-75.248437
26,9/1/24,8/31/25,REGENCY TOWNHOMES 2014 LLC,3501 WOODHAVEN RD,29,0.202,40.093745,-74.978303
27,9/1/24,8/31/25,"LP, IRVINE OWNER",780 S 52ND ST,29,0.202,39.946066,-75.226113
28,9/1/24,8/31/25,EASTWICK JOINT VENTURE (ICV),7800 LINDBERGH BLVD,28,0.202,39.902104,-75.244514
29,9/1/24,8/31/25,"1220 NORTH BROAD PARTNERS, LLC",1220-46 N BROAD ST,28,0.202,39.972756,-75.15966
